date,average
2022-10-10,55108
2022-10-11,60375
2022-10-12,61738
2022-10-13,61754
2022-10-14,61848
2022-10-15,55285
2022-10-16,52703
2022-10-17,59458
2022-10-18,61634
2022-10-19,62149
2022-10-20,62436
2022-10-21,63123
2022-10-22,55556
2022-10-23,51637
2022-10-24,59936
2022-10-25,62240
2022-10-26,62751
2022-10-27,62485
2022-10-28,62150
2022-10-29,55582
2022-10-30,51891
2022-10-31,60136
2022-11-01,62417
2022-11-02,62290
2022-11-03,63859
2022-11-04,63264
2022-11-05,56716
2022-11-06,52973
2022-11-07,62470
2022-11-08,63794
2022-11-09,64146
2022-11-10,63852
2022-11-11,63337
2022-11-12,57174
2022-11-13,54567
2022-11-14,63023
2022-11-15,65079
2022-11-16,64940
2022-11-17,64912
2022-11-18,64217
2022-11-19,57378
2022-11-20,54324
2022-11-21,63311
2022-11-22,66890
2022-11-23,65152
2022-11-24,65672
2022-11-25,64777
2022-11-26,57499
2022-11-27,54849
2022-11-28,65727
2022-11-29,67821
2022-11-30,72207
2022-12-01,73662
2022-12-02,72453
2022-12-03,65014
2022-12-04,61347
2022-12-05,73032
2022-12-06,75126
2022-12-07,73221
2022-12-08,72632
2022-12-09,72473
2022-12-10,65131
2022-12-11,59594
2022-12-12,72633
2022-12-13,75111
2022-12-14,79335
2022-12-15,78988
2022-12-16,78852
2022-12-17,70942
2022-12-18,67573
2022-12-19,79814
2022-12-20,79806
2022-12-21,80191
2022-12-22,81866
2022-12-23,83011
2022-12-24,72016
2022-12-25,66013
2022-12-26,78597
2022-12-27,78846
2022-12-28,78213
2022-12-29,77309
2022-12-30,73655
2022-12-31,64415
2023-01-01,60041
2023-01-02,74329
2023-01-03,78132
2023-01-04,78162
2023-01-05,78583
2023-01-06,76368
2023-01-07,67201
2023-01-08,62391
2023-01-09,73425
2023-01-10,74545
2023-01-11,73914
2023-01-12,73007
2023-01-13,72633
2023-01-14,65548
2023-01-15,63905
2023-01-16,74684
2023-01-17,77756
2023-01-18,76910
2023-01-19,75997
2023-01-20,72256
2023-01-21,59522
2023-01-22,55685
2023-01-23,55367
2023-01-24,63084
2023-01-25,77030
2023-01-26,81739
2023-01-27,79624
2023-01-28,70638
2023-01-29,64663
2023-01-30,74283
2023-01-31,75017
2023-02-01,73389
2023-02-02,75495
2023-02-03,74404
2023-02-04,65645
2023-02-05,60946
2023-02-06,72251
2023-02-07,72917
2023-02-08,72305
2023-02-09,73246
2023-02-10,72643
2023-02-11,64849
2023-02-12,61254
2023-02-13,71168
2023-02-14,71362
2023-02-15,73074
2023-02-16,73262
2023-02-17,71844
2023-02-18,64545
2023-02-19,58629
2023-02-20,69606
2023-02-21,72421
2023-02-22,71620
2023-02-23,69998
2023-02-24,69011
2023-02-25,61904
2023-02-26,57769
2023-02-27,67219
2023-02-28,67901
2023-03-01,63730
2023-03-02,68580
2023-03-03,68133
2023-03-04,59949
2023-03-05,55428
2023-03-06,64427
2023-03-07,65645
2023-03-08,64994
2023-03-09,64902
2023-03-10,63005
2023-03-11,56093
2023-03-12,56270
2023-03-13,64218
2023-03-14,64521
2023-03-15,64576
2023-03-16,65011
2023-03-17,66085
2023-03-18,56688
2023-03-19,52747
2023-03-20,61811
2023-03-21,62834
2023-03-22,63342
2023-03-23,64630
2023-03-24,63473
2023-03-25,56792
2023-03-26,51154
2023-03-27,60142
2023-03-28,62968
2023-03-29,61784
2023-03-30,61632
2023-03-31,59729
2023-04-01,53475
2023-04-02,49782
2023-04-03,58277
2023-04-04,62061
2023-04-05,65117
2023-04-06,65136
2023-04-07,61395
2023-04-08,53895
2023-04-09,50152
2023-04-10,58545
2023-04-11,63093
2023-04-12,60049
2023-04-13,60972
2023-04-14,62038
2023-04-15,56396
2023-04-16,51396
2023-04-17,58477
2023-04-18,64060
2023-04-19,61420
2023-04-20,62178
2023-04-21,60512
2023-04-22,52993
2023-04-23,50857
2023-04-24,59223
2023-04-25,63565
2023-04-26,60674
2023-04-27,59448
2023-04-28,59803
2023-04-29,56487
2023-04-30,48240
2023-05-01,50161
2023-05-02,57523
2023-05-03,60074
2023-05-04,61271
2023-05-05,58209
2023-05-06,54600
2023-05-07,51621
2023-05-08,56426
2023-05-09,58829
2023-05-10,59251
2023-05-11,59756
